sintomas,especialidad
Desde ayer tengo se me ponen los dedos blancos con el frío desde esta mañana.,Reumatología
Epistaxis anterior con vértigo posicional.,Otorrinolaringología
Acude por presentar me chilla el pecho al respirar que no pasa.,Neumología
"Intoxicación exógena, acompañado de traumatismo craneoencefálico.",Emergencias
"Doctor, tengo me pica la nariz y los ojos que no pasa.",Alergología
Ayúdeme con no puedo ni tragar del dolor de garganta desde esta mañana.,Otorrinolaringología
Me salió alergia por tocar algo y además se me hinchó la boca y los ojos.,Alergología
El guagua está hirviendo en fiebre y siente todo lo que come lo vomita.,Pediatría
"Se me hinchó la boca y los ojos, también refiere paso estornudando todo el día.",Alergología
Siento que todo lo que come lo vomita que no pasa.,Pediatría
Presento vértigo periférico intermitente.,Neurología
Tengo artralgias matutinas que no pasa.,Reumatología
Hay presencia de estoy con calentura y cuerpo cortado constante.,Infectología
Paciente refiere que cambios en hábito intestinal constante.,Oncología
"Doctor, tengo se me ponen los dedos blancos con el frío constante.",Reumatología
Presenta palpitaciones taquicárdicas y dice que tengo las piernas hinchadas como tamal.,Cardiología
Se queja de mojo la cama de sudor en la noche constante.,Infectología
Desde ayer tengo diaforesis excesiva que no pasa.,Endocrinología
Paciente refiere que se está hinchando todo y no respira de inicio súbito.,Emergencias
Se cortó feo y sale mucha sangre con se quemó con agua hirviendo.,Emergencias
"Tengo mucha sed y orino bastante, sumado a paso con frío todo el tiempo.",Endocrinología
Acude por presentar anafilaxia de inicio súbito.,Emergencias
"Siento como una pata de elefante en el pecho, también refiere tengo las piernas hinchadas como tamal.",Cardiología
Siento que sudo demasiado sin hacer nada que no pasa.,Endocrinología
Acude por presentar me duele full el oído derecho de inicio súbito.,Otorrinolaringología
Presenta ánimo depresivo persistente y dice que escucho voces que nadie más oye.,Psiquiatría
Paciente refiere que dolor en fosa renal de inicio súbito.,Nefrología
Presento sudo demasiado sin hacer nada de inicio súbito.,Endocrinología
Me da se tomó un veneno que no pasa.,Emergencias
Ayúdeme con nevus displásico hace una semana.,Dermatología
"Algia lumbar mecánica, acompañado de fractura expuesta.",Traumatología
"Vértigo posicional, sumado a epistaxis anterior.",Otorrinolaringología
Se queja de me arde la boca del estómago de inicio súbito.,Gastroenterología
Manifiesta astenia y adinamia constante.,Medicina General
Manifiesta hipertensión arterial descontrolada desde esta mañana.,Cardiología
Me da me dio un soponcio y me caí desde esta mañana.,Cardiología
Todo lo que come lo vomita y siente le salieron granitos en todo el cuerpo.,Pediatría
Siento que me ahogo cuando estoy durmiendo desde esta mañana.,Neumología
Me da no puedo ni tragar del dolor de garganta constante.,Otorrinolaringología
"Doctor, tengo estoy vomitando sangre desde esta mañana.",Gastroenterología
"Doctor, tengo me sangran las encías al cepillarme intermitente.",Odontología
Tengo me tiemblan las manos intermitente.,Endocrinología
Paciente refiere que me siento decaído y sin fuerzas intermitente.,Medicina General
"Reacción a medicamentos, acompañado de edema angioneurótico.",Alergología
Tengo nevus displásico desde esta mañana.,Dermatología
Manifiesta cambios en hábito intestinal constante.,Oncología
Manifiesta micosis cutánea que no pasa.,Dermatología
"No puedo mover la rodilla ni un poquito, sumado a se me salió el hueso.",Traumatología
"Temblor distal fino, también refiere intolerancia al frío.",Endocrinología
Manifiesta sangrado uterino anormal desde hace 3 días.,Ginecología
Ayúdeme con algia lumbar mecánica intermitente.,Traumatología
Acude por presentar otalgia derecha intermitente.,Otorrinolaringología
Tengo la orina sale con mucha espuma desde esta mañana.,Nefrología
Alopecia areata con dermatitis atópica.,Dermatología
"Tengo problemas de potencia sexual, sumado a tengo un dolor en el riñón que me dobla.",Urología
Presento todo lo que come lo vomita hace una semana.,Pediatría
"Me arde para orinar y voy a cada rato, acompañado de tengo problemas de potencia sexual.",Urología
"Hematuria macroscópica, acompañado de cólico renoureteral.",Urología
Siento hormigueo en medio cuerpo y siente veo lucecitas antes de que me duela la cabeza.,Neurología
Indica tener angina de pecho estable de inicio súbito.,Cardiología
"Adenopatías generalizadas, también refiere fiebre de origen desconocido.",Infectología
Siento que aumento de peso injustificado hace una semana.,Endocrinología
"Tengo un nacido en la encía, también refiere tengo mal aliento.",Odontología
"Disminución de la agudeza visual, también refiere diplopía.",Oftalmología
Siento que no puedo ni tragar del dolor de garganta intermitente.,Otorrinolaringología
Acude por presentar tengo moquera clara de inicio súbito.,Medicina General
"Estoy aventado, acompañado de me cae mal todo lo que como.",Gastroenterología
Acude por presentar me dio un soponcio y me caí de inicio súbito.,Cardiología
Se queja de cefalea leve intermitente.,Medicina General
Se queja de estoy viendo doble intermitente.,Oftalmología
"Me chilla el pecho al respirar, sumado a me ahogo cuando estoy durmiendo.",Neumología
Indica tener el nene no para de llorar intermitente.,Pediatría
"Siento hormigueo en medio cuerpo, también refiere le dio el ataque y se sacudió.",Neurología
Amanezco tieso con se me ponen los dedos blancos con el frío.,Reumatología
Desde ayer tengo síndrome febril agudo desde hace 3 días.,Infectología
Desde ayer tengo dolor poliarticular intermitente.,Reumatología
"Tos ferina, sumado a pirexia no cuantificada.",Pediatría
Manifiesta tos ferina que no pasa.,Pediatría
Indica tener se me atranca la comida al pasar desde hace 3 días.,Oncología
Desde ayer tengo hipertensión resistente desde hace 3 días.,Nefrología
Acude por presentar palpitaciones taquicárdicas desde hace 3 días.,Cardiología
Desde ayer tengo dolor precordial opresivo que no pasa.,Cardiología
Ayúdeme con siento como una pata de elefante en el pecho hace una semana.,Cardiología
Ayúdeme con masa palpable no dolorosa intermitente.,Oncología
Acude por presentar tengo el colon inflamado desde esta mañana.,Gastroenterología
Desde ayer tengo se me va el aire al subir gradas intermitente.,Cardiología
Nevus displásico y además acné nódulo-quístico.,Dermatología
"Edema angioneurótico, sumado a rinitis alérgica estacional.",Alergología
Desde ayer tengo estoy tosiendo sangre que no pasa.,Neumología
Indica tener rigidez articular desde esta mañana.,Reumatología
Ayúdeme con polidipsia y poliuria que no pasa.,Endocrinología
Manifiesta dolor testicular agudo que no pasa.,Urología
Indica tener me duelen las coyunturas al despertar de inicio súbito.,Reumatología
Me da temblor distal fino desde esta mañana.,Endocrinología
Se quemó con agua hirviendo y además se rompió la cabeza en la caída.,Emergencias
"Le dio el ataque y se sacudió, también refiere me duele toda la cabeza como si tuviera una vincha.",Neurología
Ayúdeme con no puedo mover la rodilla ni un poquito constante.,Traumatología
Desde ayer tengo dispepsia funcional hace una semana.,Gastroenterología
"Me salieron ampollas dolorosas, también refiere estoy con calentura y cuerpo cortado.",Infectología
Presenta limitación funcional articular y dice que no puedo mover la rodilla ni un poquito.,Traumatología
"Me siento muy nervioso y con miedo, también refiere tengo ganas de quitarme la vida.",Psiquiatría
Me duele la muela horrible y además me sangran las encías al cepillarme.,Odontología
Presento fotofobia desde esta mañana.,Oftalmología
Siento que rigidez articular intermitente.,Reumatología
Siento que dermatitis de contacto hace una semana.,Alergología
Se queja de cefalea tensional holocraneal constante.,Neurología
Siento que se me atranca la comida al pasar constante.,Oncología
Se queja de erupción exantemática desde hace 3 días.,Pediatría
Se queja de hemoptisis intermitente.,Neumología
Paciente refiere que ya no hago del baño como antes de inicio súbito.,Oncología
Tengo crisis de ansiedad generalizada que no pasa.,Psiquiatría
Siento que irritabilidad y llanto constante que no pasa.,Pediatría
Manifiesta disfunción eréctil desde hace 3 días.,Urología
Paciente refiere que rinorrea hialina intermitente.,Medicina General
Me da me duele todo el cuerpo desde hace 3 días.,Medicina General
Hay presencia de fotofobia desde esta mañana.,Oftalmología
Paciente refiere que edema periorbitario constante.,Nefrología
Presento me hinca el corazón constante.,Cardiología
Migraña con aura y siente cefalea tensional holocraneal.,Neurología
"Estoy tosiendo sangre, sumado a me ahogo cuando estoy durmiendo.",Neumología
Paciente refiere que me duele la barriga un poco hace una semana.,Medicina General
"Acné nódulo-quístico, acompañado de dermatitis atópica.",Dermatología
Paciente refiere que estoy amarillo como patito constante.,Gastroenterología
Indica tener la luz me molesta muchísimo hace una semana.,Oftalmología
Indica tener pérdida de peso caquectizante hace una semana.,Oncología
Ayúdeme con crisis convulsiva tónico-clónica de inicio súbito.,Neurología
Presenta ideación suicida y dice que escucho voces que nadie más oye.,Psiquiatría
Tengo tengo mal aliento que no pasa.,Odontología
Indica tener tengo mucha sed y orino bastante desde hace 3 días.,Endocrinología
Manifiesta tengo un dolor en el riñón que me dobla desde hace 3 días.,Urología
Indica tener fiebre de origen desconocido intermitente.,Infectología
Me sangran las encías al cepillarme y siente tengo mal aliento.,Odontología
Se queja de se me va el aire al subir gradas de inicio súbito.,Cardiología
Se queja de aumento de peso injustificado desde hace 3 días.,Endocrinología
Se queja de el guagua está hirviendo en fiebre hace una semana.,Pediatría
Síndrome febril agudo con adenopatías generalizadas.,Infectología
Paciente refiere que me chilla el pecho al respirar que no pasa.,Neumología
Acude por presentar epistaxis anterior hace una semana.,Otorrinolaringología
"Doctor, tengo absceso periodontal hace una semana.",Odontología
"Se está hinchando todo y no respira, acompañado de se cortó feo y sale mucha sangre.",Emergencias
Presento ánimo depresivo persistente hace una semana.,Psiquiatría
Paciente refiere que me tiemblan las manos constante.,Endocrinología
Presento epigastralgia urente de inicio súbito.,Gastroenterología
"Doctor, tengo no puedo mover la rodilla ni un poquito que no pasa.",Traumatología
Tengo se me atranca la comida al pasar que no pasa.,Oncología
Ayúdeme con prurito ocular y nasal que no pasa.,Alergología
Acude por presentar intoxicación exógena desde esta mañana.,Emergencias
Tengo hipoacusia súbita constante.,Otorrinolaringología
Indica tener leucorrea fétida constante.,Ginecología
Indica tener todo me da vueltas y me tumba hace una semana.,Neurología
Paciente refiere que tengo un dolorcito de cabeza que no pasa.,Medicina General
Presenta tos ferina y dice que el nene no para de llorar.,Pediatría
Se queja de se me ponen los dedos blancos con el frío desde esta mañana.,Reumatología
"Rechinar los dientes al dormir, acompañado de tengo un nacido en la encía.",Odontología
Hay presencia de herida cortopunzante profusa constante.,Emergencias
Me da paso con frío todo el tiempo constante.,Endocrinología
Presento aumento de peso injustificado de inicio súbito.,Endocrinología
Indica tener tengo el cuello tieso por el frenazo hace una semana.,Traumatología
Tengo sangrado uterino anormal constante.,Ginecología
Desde ayer tengo odontalgia severa desde hace 3 días.,Odontología
"Doctor, tengo absceso periodontal desde hace 3 días.",Odontología
Se queja de rinorrea hialina hace una semana.,Medicina General
Distensión abdominal y además colitis ulcerosa.,Gastroenterología
Siento que ideación suicida constante.,Psiquiatría
Indica tener tengo mucha sed y orino bastante intermitente.,Endocrinología
